experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,process_timestamp,ml_timestamp
EA_1,r6,69.64507441342056,1753174994.3749435,1753174994.474994,1753174994.48,1753174994.4996812
EA_1,r6,69.67330018715647,1753175001.312683,1753175001.3947594,1753175001.489,1753175001.508206
EA_1,r6,69.91921722836761,1753175008.2607124,1753175008.3193111,1753175008.397,1753175008.4163048
EA_1,r6,69.91480743532385,1753175015.0713246,1753175015.1327047,1753175015.205,1753175015.2242157
EA_1,r6,70.10065889563467,1753175021.9207203,1753175022.003221,1753175022.013,1753175022.0321317
EA_1,r6,69.80428024998359,1753175028.7968273,1753175028.8493917,1753175028.921,1753175028.9404132
EA_1,r6,69.67330020502112,1753175035.7124062,1753175035.7862058,1753175035.83,1753175035.8505192
EA_1,r6,70.22457550854327,1753175042.5426946,1753175042.6183052,1753175042.638,1753175042.6562464
EA_1,r6,69.58521460777018,1753175049.436644,1753175049.4847116,1753175049.546,1753175049.5661426
EA_1,r6,69.7999981284833,1753175056.3791263,1753175056.4537456,1753175056.596,1753175056.6156766
EA_1,r6,69.58737580165354,1753175063.343072,1753175063.4308226,1753175063.504,1753175063.5255947
EA_1,r6,69.62858548577279,1753175070.2120364,1753175070.2819138,1753175070.312,1753175070.3332362
EA_1,r6,69.80428031132803,1753175077.0333436,1753175077.1085367,1753175077.121,1753175077.1407754
EA_1,r6,70.10065891023896,1753175083.86806,1753175083.9281616,1753175084.029,1753175084.0483458
EA_1,r6,69.58555246423568,1753175090.6983588,1753175090.7728376,1753175090.836,1753175090.859824
EA_1,r6,69.79999813233886,1753175097.6372962,1753175097.697631,1753175097.744,1753175097.7630172
EA_1,r6,70.10065880163683,1753175104.582702,1753175104.6437423,1753175104.653,1753175104.6656601
EA_1,r6,69.62150307285373,1753175111.4628491,1753175111.5389626,1753175111.561,1753175111.5813835
EA_1,r6,69.63181925838495,1753175118.4143295,1753175118.4790456,1753175118.567,1753175118.5891604
EA_1,r6,69.63213300908802,1753175125.4422774,1753175125.4998648,1753175125.576,1753175125.5982401
EA_1,r6,69.6321073581726,1753175132.389674,1753175132.4829893,1753175132.586,1753175132.608166
EA_1,r6,69.63167121382868,1753175139.379117,1753175139.4384336,1753175139.495,1753175139.517471
EA_1,r6,69.63200205194666,1753175146.4177384,1753175146.4795926,1753175146.504,1753175146.5263789
EA_1,r6,69.63191539444408,1753175153.4586945,1753175153.5542583,1753175153.613,1753175153.626581
EA_1,r6,69.63185546672186,1753175160.5747807,1753175160.6386187,1753175160.722,1753175160.7419152
EA_1,r6,69.63222994992233,1753175168.1450574,1753175168.2020826,1753175168.231,1753175168.2532015
EA_1,r6,69.63162804022933,1753175175.1698954,1753175175.2644737,1753175175.338,1753175175.3608696
EA_1,r6,69.63195655486032,1753175182.0655684,1753175182.1265001,1753175182.147,1753175182.170045
EA_1,r6,69.63204649374073,1753175188.9568572,1753175189.028773,1753175189.054,1753175189.0770078
EA_1,r6,69.63198039304463,1753175195.7793236,1753175195.857965,1753175195.862,1753175195.8836806
EA_1,r6,69.63179346775526,1753175202.6501532,1753175202.7082343,1753175202.769,1753175202.7908602
EA_1,r6,69.63168260488294,1753175209.4028952,1753175209.4771674,1753175209.577,1753175209.599827
EA_1,r6,69.6319267882775,1753175216.499949,1753175216.5596778,1753175216.585,1753175216.6073453
EA_1,r6,69.63192840141608,1753175223.4325423,1753175223.4911244,1753175223.593,1753175223.6163526
EA_1,r6,69.61672437335349,1753175230.2868288,1753175230.3611062,1753175230.401,1753175230.423094
EA_1,r6,69.61670348084463,1753175237.212751,1753175237.2722852,1753175237.309,1753175237.3291423
EA_1,r6,69.61656044295772,1753175244.2763247,1753175244.335896,1753175244.417,1753175244.4371793
EA_1,r6,69.61676926619236,1753175251.1284084,1753175251.2008154,1753175251.224,1753175251.244182
EA_1,r6,69.61659636966733,1753175258.018109,1753175258.0798411,1753175258.132,1753175258.1533906
EA_1,r6,69.6169320264939,1753175265.0384603,1753175265.1172526,1753175265.14,1753175265.1601877
EA_1,r6,69.61653307988881,1753175271.8509016,1753175271.925294,1753175271.948,1753175271.967891
EA_1,r6,69.61661905712114,1753175278.7922864,1753175278.850314,1753175278.855,1753175278.878981
EA_1,r6,69.6112979755753,1753175285.5524344,1753175285.6310887,1753175285.663,1753175285.6828096
EA_1,r6,69.60138948018013,1753175292.3814332,1753175292.4554746,1753175292.471,1753175292.4910529
EA_1,r6,69.60148134946897,1753175299.3006153,1753175299.3590078,1753175299.379,1753175299.4001982
EA_1,r6,69.60153711999781,1753175306.1656969,1753175306.260751,1753175306.287,1753175306.3070583
EA_1,r6,69.6013672971075,1753175313.1415443,1753175313.1988523,1753175313.296,1753175313.3159504
EA_1,r6,69.60149963091546,1753175320.102959,1753175320.1644855,1753175320.204,1753175320.224136
EA_1,r6,69.60132931574742,1753175327.1044233,1753175327.199536,1753175327.213,1753175327.239415
EA_1,r6,69.60145374916331,1753175334.037671,1753175334.0997736,1753175334.121,1753175334.1445043
EA_1,r6,69.601498304646,1753175341.041535,1753175341.0972917,1753175341.129,1753175341.1496944
EA_1,r6,69.60146206376953,1753175347.9444928,1753175348.020457,1753175348.036,1753175348.056113
EA_1,r6,69.60138413303443,1753175354.8799012,1753175354.9412737,1753175355.044,1753175355.0644474
EA_1,r6,69.6015056239505,1753175361.8857472,1753175361.9469,1753175361.952,1753175361.9750972
EA_1,r6,69.60135698480842,1753175368.814646,1753175368.8919847,1753175368.961,1753175368.9812245
EA_1,r6,69.60154452293646,1753175375.8437648,1753175375.905843,1753175375.969,1753175375.9891343
EA_1,r6,69.60133825900785,1753175382.8848798,1753175382.9461741,1753175382.977,1753175382.9977994
EA_1,r6,69.60148714753491,1753175389.7410357,1753175389.816476,1753175389.885,1753175389.9078398
EA_1,r6,69.60140445776551,1753175396.6735792,1753175396.7561698,1753175396.793,1753175396.8152423
EA_1,r6,69.60150492428919,1753175403.6015146,1753175403.6616054,1753175403.702,1753175403.7239764
EA_1,r6,69.6137490979408,1753175410.4668574,1753175410.5441883,1753175410.61,1753175410.632431
EA_1,r6,69.61670043547234,1753175417.320873,1753175417.4043245,1753175417.419,1753175417.4418752
EA_1,r6,69.61673041551693,1753175424.0560162,1753175424.133336,1753175424.227,1753175424.249453
EA_1,r6,69.61652224468604,1753175431.0113544,1753175431.0691268,1753175431.135,1753175431.157974
EA_1,r6,69.6168725591261,1753175437.9389234,1753175438.03676,1753175438.043,1753175438.065512
EA_1,r6,69.61646693211115,1753175444.927408,1753175445.003259,1753175445.052,1753175445.0728898
EA_1,r6,69.61668296668188,1753175451.8659954,1753175451.9241076,1753175451.961,1753175451.9808354
EA_1,r6,69.61676623807851,1753175458.9209878,1753175459.0101092,1753175459.07,1753175459.0917406
EA_1,r6,69.6185342725104,1753175465.778571,1753175465.8756824,1753175465.879,1753175465.8991482
EA_1,r6,69.63200105852493,1753175472.744737,1753175472.8054278,1753175472.888,1753175472.9055963
EA_1,r6,69.63207427800742,1753175479.6403537,1753175479.7008178,1753175479.796,1753175479.8164525
EA_1,r6,69.63166787591508,1753175486.6631677,1753175486.7374184,1753175486.805,1753175486.8274887
EA_1,r6,69.63193763726777,1753175493.6813536,1753175493.7422738,1753175493.813,1753175493.8354769
EA_1,r6,69.63214363596869,1753175500.6423008,1753175500.7059524,1753175500.722,1753175500.7446961
