experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp
EA_2,r4,702.7904717709515,1753874239.720891,1753874239.804067,1753874239.848,1753874239.8641307
EA_2,r4,702.695930175909,1753874246.71989,1753874246.8074706,1753874246.856,1753874246.8711443
EA_2,r4,702.9776890535005,1753874253.605618,1753874253.6595948,1753874253.762,1753874253.7780545
EA_2,r4,702.7134167222512,1753874260.481945,1753874260.539821,1753874260.568,1753874260.5832214
EA_2,r4,702.9776889509643,1753874267.4024904,1753874267.4722173,1753874267.576,1753874267.5908706
EA_2,r4,703.0590503563998,1753874274.3342326,1753874274.4016356,1753874274.483,1753874274.5077238
EA_2,r4,702.790471169107,1753874281.423663,1753874281.4845598,1753874281.491,1753874281.5069287
EA_2,r4,703.1414983520526,1753874288.3994243,1753874288.4968934,1753874288.598,1753874288.6335733
EA_2,r4,702.721019907864,1753874295.3153007,1753874295.3759196,1753874295.405,1753874295.422025
EA_2,r4,702.7118568105653,1753874302.2079906,1753874302.2612603,1753874302.312,1753874302.3214011
EA_2,r4,702.9776889745436,1753874309.1204982,1753874309.1983244,1753874309.218,1753874309.2339175
EA_2,r4,702.7904721208317,1753874315.9656267,1753874316.0194857,1753874316.124,1753874316.1462548
EA_2,r4,702.6961691608365,1753874322.8863049,1753874322.9510112,1753874323.030,1753874323.047503
EA_2,r4,702.7904718702703,1753874329.7941031,1753874329.88041,1753874329.937,1753874329.9532313
EA_2,r4,702.6959302543967,1753874336.7699316,1753874336.822971,1753874336.844,1753874336.8592858
EA_2,r4,702.9776890751174,1753874343.6483638,1753874343.7055337,1753874343.750,1753874343.7646785
EA_2,r4,702.7134168361173,1753874350.4994867,1753874350.5862746,1753874350.656,1753874350.6714299
EA_2,r4,704.3509660057284,1753874357.7298195,1753874357.7876203,1753874357.862,1753874357.8780236
EA_2,r4,708.2092988888242,1753874365.034783,1753874365.1034,1753874365.169,1753874365.1853569
EA_2,r4,707.6681945758356,1753874372.0060756,1753874372.083659,1753874372.176,1753874372.1945593
EA_2,r4,702.7226541507996,1753874378.8205955,1753874378.8763113,1753874378.983,1753874378.9984505
EA_2,r4,702.7210201219837,1753874385.6511354,1753874385.7254174,1753874385.790,1753874385.8055923
EA_2,r4,702.7226538123782,1753874392.532696,1753874392.5941503,1753874392.697,1753874392.7137096
EA_2,r4,702.7243024360738,1753874399.8254354,1753874399.881831,1753874399.905,1753874399.9204996
EA_2,r4,702.7904724809475,1753874406.5824587,1753874406.6530204,1753874406.712,1753874406.7287445
EA_2,r4,702.69616912477,1753874413.513578,1753874413.5803795,1753874413.620,1753874413.6346612
EA_2,r4,702.7904718105353,1753874420.4364867,1753874420.4907491,1753874420.527,1753874420.5475814
EA_2,r4,702.6959302130766,1753874427.4244943,1753874427.4991162,1753874427.534,1753874427.5506322
EA_2,r4,702.7904716133417,1753874434.3977578,1753874434.4570947,1753874434.542,1753874434.5589473
EA_2,r4,703.1357847071256,1753874441.3320053,1753874441.3917196,1753874441.493,1753874441.5093238
EA_2,r4,702.696519125448,1753874448.7610922,1753874448.872888,1753874448.902,1753874448.9175777
EA_2,r4,703.4401237541176,1753874455.692473,1753874455.7479467,1753874455.810,1753874455.8251798
EA_2,r4,702.6961688617628,1753874462.7006946,1753874462.7768607,1753874462.817,1753874462.8350441
EA_2,r4,702.7942062076962,1753874469.7696562,1753874469.8417194,1753874469.925,1753874469.9475284
EA_2,r4,702.6965207237924,1753874476.7028208,1753874476.7648046,1753874476.833,1753874476.8489115
EA_2,r4,702.7942064954465,1753874483.696394,1753874483.791716,1753874483.842,1753874483.8583663
EA_2,r4,702.6961687099346,1753874490.749911,1753874490.807452,1753874490.849,1753874490.864684
EA_2,r4,703.0860189514301,1753874497.726644,1753874497.782235,1753874497.857,1753874497.8738265
EA_2,r4,702.9776889948748,1753874504.632236,1753874504.7208524,1753874504.765,1753874504.7762978
EA_2,r4,703.0538943742861,1753874511.462311,1753874511.5166407,1753874511.571,1753874511.587224
EA_2,r4,702.7243036908233,1753874518.2310205,1753874518.2886863,1753874518.378,1753874518.3930295
EA_2,r4,702.7904714193171,1753874525.2545495,1753874525.3389423,1753874525.385,1753874525.400502
EA_2,r4,703.1414991515754,1753874532.040934,1753874532.0954597,1753874532.193,1753874532.2110116
EA_2,r4,702.6965194949275,1753874539.3491797,1753874539.4072125,1753874539.501,1753874539.5181465
EA_2,r4,702.7942066473458,1753874546.3036013,1753874546.4086134,1753874546.509,1753874546.525942
EA_2,r4,702.6961694311505,1753874553.147015,1753874553.214011,1753874553.316,1753874553.332527
EA_2,r4,703.4401232471878,1753874560.193838,1753874560.2490742,1753874560.323,1753874560.3398407
EA_2,r4,702.7904721065954,1753874567.0424967,1753874567.1346304,1753874567.231,1753874567.2477417
EA_2,r4,703.3289142017633,1753874574.0479534,1753874574.1035898,1753874574.138,1753874574.1562471
EA_2,r4,703.8447137197944,1753874580.9442139,1753874581.0102901,1753874581.046,1753874581.0643349
EA_2,r4,702.7226540751556,1753874587.773605,1753874587.8448946,1753874587.853,1753874587.869362
EA_2,r4,702.9776889328999,1753874594.700321,1753874594.7745416,1753874594.861,1753874594.8759577
EA_2,r4,702.9699433075622,1753874601.6031983,1753874601.670844,1753874601.768,1753874601.7841954
EA_2,r4,702.7243035380984,1753874608.4316304,1753874608.4884326,1753874608.575,1753874608.5908558
EA_2,r4,702.7226536643076,1753874615.34294,1753874615.4173603,1753874615.483,1753874615.4972188
EA_2,r4,702.9776888686829,1753874622.2916808,1753874622.371121,1753874622.390,1753874622.4047987
EA_2,r4,703.0538942198799,1753874629.1519604,1753874629.210555,1753874629.298,1753874629.3127544
EA_2,r4,702.9776892751489,1753874635.963609,1753874636.0465279,1753874636.105,1753874636.120192
EA_2,r4,702.6961692490197,1753874642.8588905,1753874642.943337,1753874643.013,1753874643.0314658
EA_2,r4,702.794207101623,1753874649.698796,1753874649.7657986,1753874649.801,1753874649.8184175
EA_2,r4,703.1578882176739,1753874656.545055,1753874656.599669,1753874656.607,1753874656.623334
EA_2,r4,702.7942069736321,1753874663.4168415,1753874663.5036995,1753874663.513,1753874663.5283597
EA_2,r4,703.8447139883502,1753874670.221774,1753874670.27977,1753874670.321,1753874670.3363187
EA_2,r4,702.7226541110318,1753874677.044104,1753874677.1029785,1753874677.129,1753874677.1440864
EA_2,r4,702.7210199140536,1753874683.9574838,1753874684.0300922,1753874684.037,1753874684.054012
EA_2,r4,702.7226526398464,1753874691.0818832,1753874691.1423082,1753874691.245,1753874691.2601154
EA_2,r4,702.7243035722613,1753874697.8968647,1753874697.9513497,1753874698.052,1753874698.067209
EA_2,r4,702.7904719488794,1753874704.7848783,1753874704.8732245,1753874704.960,1753874704.9756753
